Supplier type;Supplier;Invoice type;Invoice number;Invoice owner;Amount
;Cubilia Curae Phasellus Limited;Small invoice;114072;Gary Le;7586000
;Sit Amet Institute;Medium invoice;114073;Clio Butler;11134000
;Odio A Company;Small invoice;114074;Clio Butler;4882000
;Id Sapien Cras Corp.;Medium invoice;114076;;39189000
;Mauris Blandit Enim LLP;Small invoice;114077;Clio Butler;120000
;Malesuada Id LLP;Small invoice;114078;Fiona Luna;158000
;Malesuada Id LLP;Small invoice;114079;Fiona Luna;2100000
;Malesuada Id LLP;Small invoice;114080;Fiona Luna;1890000
;Malesuada Id LLP;Small invoice;114081;Fiona Luna;1550000
;Malesuada Id LLP;Small invoice;114082;Fiona Luna;1550000
;Malesuada Id LLP;Small invoice;114083;Fiona Luna;4680000
;Malesuada Id LLP;Small invoice;114084;Fiona Luna;540000
;Malesuada Id LLP;Small invoice;114085;Alan Boyer;2200000
;Malesuada Id LLP;Small invoice;114086;Alan Boyer;7630000
;Malesuada Id LLP;Small invoice;114087;Alan Boyer;3060000
;Malesuada Id LLP;Small invoice;114088;Alan Boyer;2040000
;Malesuada Id LLP;Small invoice;114089;Alan Boyer;2430000
;Malesuada Id LLP;Small invoice;114090;Alan Boyer;1830000
;Malesuada Id LLP;Small invoice;114091;Alan Boyer;2640000
;Malesuada Id LLP;Small invoice;114092;Alan Boyer;1830000
;Malesuada Id LLP;Small invoice;114093;Alan Boyer;1473000
;Malesuada Id LLP;Small invoice;114094;Alan Boyer;2650000
;Velit Dui Semper Incorporated;Small invoice;114095;Clio Butler;7140000
;Ullamcorper Consulting;Medium invoice;114096;Alan Boyer;22925000
;Est Arcu Associates;Small invoice;114097;Kyla Jackson;5720000
;Est Arcu Associates;Small invoice;114098;Kyla Jackson;1881000
;A PC;Small invoice;114099;;1363000
;Vitae Posuere Limited;Small invoice;114100;Hunter Garcia;4740000
;Vitae Posuere Limited;Small invoice;114101;Hunter Garcia;2830000
;Magna Tellus Industries;Small invoice;114102;Hunter Garcia;7140000
;Ac Orci Corporation;Small invoice;114103;Hunter Garcia;7900000
;Amet Consectetuer Institute;Small invoice;114104;Hunter Garcia;6850000
;Vel PC;Partner;114105;Hunter Garcia;3930000
Office supplies;Euismod LLC;Small invoice;126040;Medge Patel;1320000
;Lectus Ante Dictum Limited;Small invoice;126041;Medge Patel;770000
;Turpis Vitae Purus Associates;Small invoice;126044;Dennis Robertson;3570000
;Ut Semper Incorporated;Small invoice;126045;Hunter Garcia;9020000
;Ut Semper Incorporated;Small invoice;126046;Hunter Garcia;1772000
;Scelerisque Corp.;Small invoice;126048;Hunter Garcia;1371000
;Metus In Lorem Incorporated;Small invoice;126049;Hunter Garcia;1490000
;Faucibus Orci Luctus Corp.;Small invoice;126050;Hunter Garcia;9581000
;Vel PC;Partner;114106;Hunter Garcia;2404000
;Metus Vivamus Euismod Industries;Employee declaration;114122;;1200000
;Amet Ultricies Sem LLP;Employee declaration;114123;;200000
;Amet Ultricies Sem LLP;Employee declaration;114124;;3130000
;Etiam Company;Employee declaration;114125;;4130000
;Vivamus Consulting;Employee declaration;114126;;890000
;Vivamus Consulting;Employee declaration;114127;;340000
;Nibh Enim Foundation;Partner;114158;Rebecca Love;70000
;Eget Lacus Mauris Inc.;Small invoice;112459;Rebecca Love;2255000
;Metus In Lorem Incorporated;Small invoice;114159;Rebecca Love;1730000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114161;Macy Hurst;9070000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114162;Macy Hurst;254000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114163;Macy Hurst;2850000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114164;Macy Hurst;2850000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114165;Macy Hurst;2049000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114166;Macy Hurst;3903000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114167;Macy Hurst;1053000
;Nulla Cras Ltd;Small invoice;126638;Rebecca Love;4722000
;Nulla Cras Ltd;Small invoice;126639;Medge Patel;1599000
;Nulla Cras Ltd;Small invoice;126640;Medge Patel;5950000
;Nulla Cras Ltd;Small invoice;126641;Medge Patel;2391000
;Nulla Cras Ltd;Small invoice;126642;Medge Patel;1239000
;Nulla Cras Ltd;Small invoice;126643;Rebecca Love;9929000
;Nulla Cras Ltd;Small invoice;126644;Medge Patel;4995000
;Nulla Cras Ltd;Small invoice;126645;Medge Patel;1859000
;Nulla Cras Ltd;Small invoice;126646;Medge Patel;1152000
;Nulla At Institute;Preferred supplier;126648;Lars Walker;1610000
;Nulla At Institute;Preferred supplier;126649;Lars Walker;2810000
;Nulla At Institute;Preferred supplier;126650;Lars Walker;13584000
;Nulla At Institute;Preferred supplier;126651;Lars Walker;3570000
;Nulla At Institute;Preferred supplier;126652;Lars Walker;1487000
;Nulla At Institute;Preferred supplier;126653;Lars Walker;4840000
;Nulla At Institute;Preferred supplier;126654;Lars Walker;5810000
;Sed PC;Small invoice;126655;Lars Walker;2980000
;Nulla At Institute;Preferred supplier;126656;Lars Walker;6060000
;Nulla At Institute;Preferred supplier;126657;Lars Walker;2000000
;Et Ipsum Incorporated;Partner;126659;Lars Walker;595000
;Integer Tincidunt Aliquam Foundation;Preferred supplier;126661;Lars Walker;22206000
;Nibh Enim Foundation;Partner;126734;Hunter Garcia;30000
;Nibh Enim Foundation;Partner;126735;Hunter Garcia;570000
;Nibh Enim Foundation;Partner;126736;Cullen Combs;630000
;Nibh Sit Institute;Small invoice;126861;Dennis Robertson;5000000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;114168;Macy Hurst;18004000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114169;Macy Hurst;7485000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114170;Macy Hurst;2124000
;Lectus A LLP;Small invoice;114171;Lars Walker;930000
;Sem Ut Inc.;Small invoice;114172;Dennis Robertson;1000000
;Amet Consectetuer Institute;Small invoice;114173;Dennis Robertson;2898000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;127463;Macy Hurst;3470000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;127465;Macy Hurst;30204000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;127466;Macy Hurst;3400000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;127467;Macy Hurst;3340000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;127468;Macy Hurst;4520000
;Metus In Lorem Incorporated;Small invoice;127472;Dennis Robertson;7787000
;Et Ipsum Incorporated;Partner;127473;Lars Walker;7437000
;Molestie Tortor Nibh Corporation;Medium invoice;114184;Hunter Garcia;33282000
;Nam Nulla LLC;Small invoice;114187;Hunter Garcia;1528000
;Augue Scelerisque Corporation;Small invoice;114188;Rebecca Love;7490000
;Sem Nulla PC;Small invoice;114189;Rebecca Love;1071000
;Augue Ac Foundation;Small invoice;114190;Rebecca Love;1350000
;Enim Suspendisse LLP;Small invoice;114191;;290000
;Nibh Enim Foundation;Partner;127574;Rebecca Love;110000
;Nibh Enim Foundation;Partner;127575;Rebecca Love;360000
;Nibh Enim Foundation;Partner;127576;Rebecca Love;130000
;Non Institute;Small invoice;127577;Medge Patel;180000
;Augue Ac Foundation;Small invoice;127578;Medge Patel;4740000
;Et Magna Praesent LLP;Small invoice;127579;Dennis Robertson;6875000
;Amet Industries;Small invoice;127580;Hunter Garcia;4100000
;Non Limited;Preferred supplier;127582;Dennis Robertson;1257000
;Molestie Limited;Small invoice;127583;Lars Walker;229000
Machinery;Proin LLC;Preferred supplier;127584;Lars Walker;193561000
;Molestie Limited;Medium invoice;127585;Lars Walker;32943000
;Non Institute;Small invoice;127587;Medge Patel;6890000
;Interdum Limited;Medium invoice;127588;Medge Patel;19999000
;Vitae Semper Egestas Company;Small invoice;127589;Hunter Garcia;400000
;Enim Suspendisse LLP;Small invoice;127590;Cullen Combs;390000
;Tempus Non Ltd;Small invoice;127591;Medge Patel;900000
;Nunc Est Mollis Inc.;Small invoice;114207;Cullen Combs;120000
;Cursus Foundation;Small invoice;114208;Cullen Combs;550000
;Lacus Corp.;Preferred supplier;114209;Rebecca Love;38206000
;Lacus Corp.;Preferred supplier;114210;Rebecca Love;28018000
;Lacus Corp.;Preferred supplier;114211;Rebecca Love;6949000
;Pellentesque A LLP;Small invoice;114238;Fiona Luna;4617000
;Adipiscing Non Ltd;Medium invoice;114240;Gary Le;30121000
Machinery;Vestibulum Ante Corp.;Medium invoice;114241;Fiona Luna;28274000
;Consectetuer Adipiscing Limited;Small invoice;114242;Macy Hurst;961000
;Ultricies Institute;Small invoice;114243;Lars Walker;3322000
;Sociis Industries;Small invoice;114245;Hunter Garcia;278000
;Consequat Nec Mollis Institute;Small invoice;114246;Cullen Combs;5348000
;Maecenas LLP;Small invoice;114247;Cullen Combs;2700000
;Libero Nec Corporation;Small invoice;114248;Medge Patel;3942000
;Purus Sapien Gravida Limited;Small invoice;114249;Rebecca Love;4239000
;Aliquet Corporation;Small invoice;114250;Medge Patel;10000
;Aliquet Corporation;Small invoice;114251;Cullen Combs;10000
;Nulla Ante Industries;Small invoice;114252;Cullen Combs;522000
;Nulla Ante Industries;Small invoice;114253;Medge Patel;522000
;Id Sapien Cras Corp.;Medium invoice;114256;Gary Le;39189000
;Sodales Mauris Blandit LLP;Small invoice;114257;Medge Patel;9540000
;Sodales Mauris Blandit LLP;Small invoice;114258;Medge Patel;8130000
;Tellus Lorem Eu Associates;Medium invoice;114259;Cullen Combs;12776000
;Id Ante Dictum Company;Small invoice;127603;;130000
;Malesuada Id LLP;Small invoice;127681;Alan Boyer;2480000
;Non Institute;Small invoice;127682;Fiona Luna;3612000
;Aliquam PC;Small invoice;127683;Fiona Luna;2990000
Technical equipment;Ligula Ltd;Medium invoice;127684;Fiona Luna;41025000
;Egestas Rhoncus Proin Company;Small invoice;127685;Fiona Luna;410000
;Orci Company;Small invoice;127686;Dennis Robertson;2023000
;Orci Company;Small invoice;127687;Dennis Robertson;238000
;Orci Company;Small invoice;127688;Dennis Robertson;238000
;Orci Company;Small invoice;127689;Hunter Garcia;238000
;Orci Company;Small invoice;127690;Dennis Robertson;238000
;Orci Company;Small invoice;127691;Dennis Robertson;238000
;Lectus Pede Inc.;Small invoice;127692;Dennis Robertson;2487000
;Odio PC;Small invoice;127693;Hunter Garcia;2471000
;Integer Mollis Integer Ltd;Small invoice;127694;Dennis Robertson;9460000
;Aenean Sed Pede Consulting;Small invoice;127695;Hunter Garcia;3033000
;Orci Company;Small invoice;127696;Dennis Robertson;238000
;Orci Company;Small invoice;127697;Hunter Garcia;238000
;Orci Company;Small invoice;127698;Hunter Garcia;238000
;Orci Company;Small invoice;127699;Dennis Robertson;238000
;Erat Volutpat Nulla Inc.;Small invoice;127701;Dennis Robertson;23000
;Erat Volutpat Nulla Inc.;Small invoice;127702;Dennis Robertson;2191000
;Non Institute;Small invoice;114260;Cullen Combs;90000
;Nibh Vulputate Mauris Consulting;Small invoice;114261;Cullen Combs;1170000
;Id Consulting;Small invoice;114262;Rebecca Love;1416000
;Id Consulting;Small invoice;114263;Medge Patel;3250000
;Id Consulting;Small invoice;114264;Rebecca Love;3250000
;Id Consulting;Small invoice;114265;Rebecca Love;3250000
;Id Consulting;Small invoice;114266;Rebecca Love;3250000
;Id Consulting;Small invoice;114267;Rebecca Love;3250000
;Id Consulting;Small invoice;114268;Cullen Combs;3250000
;Faucibus Id Libero Ltd;Small invoice;114269;Cullen Combs;3120000
;Sem Egestas Blandit LLC;Small invoice;114270;Medge Patel;2972000
;Lorem Ac Risus Limited;Small invoice;114284;Clio Butler;3830000
;Nisl Maecenas Company;Small invoice;114285;Lars Walker;1325000
;Nisl Maecenas Company;Small invoice;114286;Lars Walker;2875000
;Nisl Maecenas Company;Medium invoice;114287;Lars Walker;29623000
;Magna Et Institute;Small invoice;114288;Lars Walker;75000
;Molestie Limited;Medium invoice;114289;Lars Walker;48591000
;Lectus Pede Inc.;Small invoice;114291;;5350000
;Ut Semper Incorporated;Small invoice;114292;Hunter Garcia;5344000
;Molestie Tortor Nibh Corporation;Medium invoice;114293;Hunter Garcia;12809000
Office supplies;Amet Ltd;Small invoice;114295;Hunter Garcia;870000
Office supplies;Luctus Curabitur Institute;Small invoice;114296;Hunter Garcia;1303000
Office supplies;Luctus Curabitur Institute;Small invoice;114297;Medge Patel;1303000
Office supplies;Luctus Curabitur Institute;Small invoice;114298;Medge Patel;1303000
;Bibendum PC;Small invoice;114299;Rebecca Love;450000
;Faucibus Lectus LLP;Small invoice;114300;Rebecca Love;426000
;Sed Incorporated;Small invoice;114301;Rebecca Love;230000
;Nisl Maecenas Company;Small invoice;114302;Lars Walker;1416000
;Fringilla Mi Lacinia LLC;Small invoice;114303;Rebecca Love;690000
;Ac Arcu Nunc Limited;Small invoice;114304;Medge Patel;640000
Office supplies;Euismod LLC;Small invoice;114305;Medge Patel;1050000
;Ad Litora Corporation;Small invoice;114306;Medge Patel;5880000
;Egestas Industries;Small invoice;114307;Rebecca Love;620000
;Duis Volutpat Nunc Limited;Small invoice;114308;Rebecca Love;7000000
;Ipsum Phasellus Vitae Consulting;Medium invoice;114309;Tanner Wiggins;10174000
;Lectus Pede Inc.;Small invoice;114310;Dennis Robertson;5350000
;Lorem Lorem Luctus Ltd;Partner;114315;Lars Walker;2844000
;Tempus Non Ltd;Small invoice;114316;Rebecca Love;660000
;Dolor Egestas Corp.;Small invoice;114317;Rebecca Love;150000
;Pede Praesent Foundation;Small invoice;114318;Rebecca Love;8925000
;Pede Praesent Foundation;Small invoice;114319;Rebecca Love;3570000
;Pede Praesent Foundation;Small invoice;114320;Rebecca Love;3570000
;Pede Praesent Foundation;Small invoice;114321;Rebecca Love;3570000
;Placerat LLP;Medium invoice;114322;Medge Patel;42743000
;Eros Nam Limited;Small invoice;114323;Medge Patel;3094000
;Nibh Enim Foundation;Partner;114324;Medge Patel;30000
;Nibh Enim Foundation;Partner;114325;Medge Patel;30000
;Nibh Enim Foundation;Partner;114326;Medge Patel;30000
;Pede Praesent Foundation;Small invoice;114327;Medge Patel;8925000
;Pede Praesent Foundation;Small invoice;114328;Medge Patel;8925000
;Pellentesque A LLP;Small invoice;114329;Fiona Luna;5757000
;Pellentesque A LLP;Small invoice;114330;Fiona Luna;1523000
;Pellentesque A LLP;Small invoice;114331;Fiona Luna;6763000
;Pellentesque A LLP;Small invoice;114332;Fiona Luna;5946000
;Pellentesque A LLP;Small invoice;114333;Fiona Luna;6979000
;Pellentesque A LLP;Medium invoice;114334;Fiona Luna;17237000
;Ornare Consulting;Medium invoice;114335;Clio Butler;60635000
Machinery;Pellentesque Habitant Foundation;Medium invoice;114336;Alan Boyer;46172000
;Pellentesque A LLP;Small invoice;114337;Fiona Luna;5208000
;Pellentesque A LLP;Small invoice;114338;Fiona Luna;5208000
;Etiam Corporation;Small invoice;114340;Clio Butler;5622000
;Luctus Industries;Small invoice;114341;Gary Le;3123000
;Adipiscing Non Ltd;Medium invoice;114342;Gary Le;36414000
;Nullam Lobortis Quam Ltd;Small invoice;114343;Fiona Luna;6064000
;Pellentesque A LLP;Small invoice;114344;Fiona Luna;2955000
;Pellentesque A LLP;Small invoice;114345;Fiona Luna;3808000
;Pellentesque A LLP;Small invoice;114346;Fiona Luna;3808000
;Pellentesque A LLP;Small invoice;114347;Fiona Luna;1431000
;Pellentesque A LLP;Small invoice;114348;Fiona Luna;7389000
;Felis Consulting;Small invoice;127791;Medge Patel;2280000
;Tellus Lorem Eu Associates;Small invoice;127792;Medge Patel;238000
;Tellus Lorem Eu Associates;Small invoice;127793;Medge Patel;2230000
;Tellus Lorem Eu Associates;Small invoice;127794;Cullen Combs;476000
;Tellus Lorem Eu Associates;Small invoice;127795;Medge Patel;7947000
;Non Lorem Vitae Associates;Small invoice;127800;Dennis Robertson;4819000
;Metus In Lorem Incorporated;Small invoice;127801;Dennis Robertson;4580000
;Metus In Lorem Incorporated;Small invoice;127802;Dennis Robertson;1650000
;Metus In Lorem Incorporated;Small invoice;127803;Dennis Robertson;2120000
;Conubia Nostra Per LLC;Small invoice;127805;Dennis Robertson;2361000
;Malesuada Id LLP;Small invoice;114349;Fiona Luna;5850000
;Malesuada Id LLP;Small invoice;114350;Fiona Luna;1527000
;Malesuada Id LLP;Small invoice;114351;Fiona Luna;4840000
;Malesuada Id LLP;Small invoice;114352;Fiona Luna;3660000
;Nullam Lobortis Quam Ltd;Small invoice;114354;Fiona Luna;3886000
;At Arcu Vestibulum LLC;Small invoice;114355;Gary Le;5593000
;Augue Sed Molestie Incorporated;Small invoice;114356;Gary Le;6806000
;Malesuada Id LLP;Small invoice;114357;Alan Boyer;1830000
;Malesuada Id LLP;Small invoice;114358;Alan Boyer;4470000
;Malesuada Id LLP;Small invoice;114359;Alan Boyer;1950000
;Malesuada Id LLP;Small invoice;114360;Alan Boyer;1950000
;Malesuada Id LLP;Small invoice;114361;Alan Boyer;4280000
;Vulputate Ullamcorper Institute;Small invoice;114363;Macy Hurst;2140000
;Elit Dictum Eu PC;Small invoice;114364;Macy Hurst;1892000
;Enim Suspendisse LLP;Small invoice;114365;Rebecca Love;290000
;Eros Turpis Foundation;Small invoice;114366;Dennis Robertson;2219000
;Vulputate Ullamcorper Institute;Small invoice;114367;Dennis Robertson;1896000
;Ipsum Primis In Consulting;Small invoice;114368;Dennis Robertson;5790000
;A PC;Medium invoice;114369;Dennis Robertson;14798000
;Elementum Sem Foundation;Small invoice;114370;Lars Walker;1030000
;Vitae Posuere Limited;Small invoice;114371;Hunter Garcia;7541000
;Augue Eu LLP;Employee declaration;114372;;2000000
Office supplies;Luctus Curabitur Institute;Small invoice;114373;Medge Patel;1184000
Office supplies;Luctus Curabitur Institute;Small invoice;114374;Medge Patel;1184000
